,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long
27,6169900580,2014-07-09," 1,465,000 ",6,4.5,4230,6420,2.0,No,Good,Good,8,1916,98119,47.6301,-122.369
28,9551201240,2014-10-30," 1,465,000 ",4,2.5,2800,4000,2.0,No,No View,Average,9,2011,98103,47.6695,-122.339
29,1251200045,2014-06-20," 1,462,500 ",5,3.25,3840,4800,3.0,No,Good,Average,10,2008,98144,47.5929,-122.29
30,9197800010,2014-10-17," 1,460,000 ",4,3.5,4200,14353,2.0,No,Average,Average,12,1996,98040,47.5331,-122.217
31,98300230,2015-04-28," 1,459,000 ",4,4.0,4620,130208,2.0,No,No View,Average,10,2014,98024,47.5885,-121.939
32,1338800280,2014-09-29," 1,457,000 ",4,1.5,2650,6900,2.0,No,No View,Good,9,1909,98112,47.6275,-122.305
33,1235100328,2015-02-25," 1,454,000 ",5,4.0,4070,11334,2.0,No,No View,Average,10,2014,98033,47.6771,-122.187
34,1724069079,2015-03-19," 1,452,000 ",2,3.25,2070,3128,2.0,Yes,Good,Average,9,1988,98075,47.5686,-122.06
35,2625069038,2014-11-24," 1,450,000 ",4,3.5,4300,108865,2.0,No,No View,Average,11,2014,98074,47.6258,-122.005
36,6645950070,2015-04-01," 1,450,000 ",4,3.5,5000,38012,2.0,No,No View,Average,11,2004,98029,47.554,-122.036
37,4055700030,2015-05-02," 1,450,000 ",3,4.5,3970,24920,2.0,No,Average,Average,10,1977,98034,47.7183,-122.258
38,629800380,2014-10-13," 1,450,000 ",4,3.5,4360,24603,2.0,No,No View,Average,12,1998,98074,47.6035,-122.005
39,3025300225,2014-10-31," 1,450,000 ",5,2.75,3090,19865,1.0,No,No View,Good,9,1953,98039,47.6232,-122.235
40,4389200955,2015-03-02," 1,450,000 ",4,2.75,2750,17789,1.5,No,No View,Average,8,1914,98004,47.6141,-122.212
41,3760500455,2015-02-24," 1,450,000 ",3,3.5,4110,15720,1.0,No,Fair,Average,10,2000,98034,47.6996,-122.229
42,8964800695,2015-03-27," 1,450,000 ",3,1.75,2230,13529,1.0,No,No View,Average,9,1949,98004,47.6204,-122.217
43,7855000460,2014-10-07," 1,450,000 ",3,2.75,3940,9671,1.0,No,Excellent,Very Good,9,1967,98006,47.5654,-122.158
44,7324900016,2014-10-21," 1,450,000 ",5,3.5,4170,9090,2.0,No,No View,Average,10,2008,98004,47.5918,-122.196
45,824059324,2015-03-25," 1,450,000 ",4,3.5,3720,8301,2.0,No,No View,Average,10,2008,98004,47.5885,-122.199
46,4340000080,2015-03-27," 1,450,000 ",4,3.5,2820,7809,2.0,No,No View,Average,10,1995,98004,47.622,-122.195
47,1373800295,2014-10-13," 1,450,000 ",3,3.0,4380,6320,2.0,No,Good,Very Good,10,1952,98199,47.6452,-122.411
48,3528900330,2014-07-07," 1,450,000 ",4,3.25,3770,4103,2.0,No,No View,Very Good,9,1925,98109,47.641,-122.349
49,1689400375,2014-08-05," 1,450,000 ",4,3.25,3100,3900,2.0,No,Average,Very Good,9,1923,98109,47.6385,-122.348
50,9831200172,2015-02-27," 1,450,000 ",4,3.5,2860,2199,3.0,No,No View,Average,10,2013,98102,47.6262,-122.323
51,1377300005,2015-04-01," 1,445,000 ",4,3.5,3470,8580,2.0,No,No View,Average,11,2007,98199,47.6433,-122.403
52,6169901085,2014-08-07," 1,445,000 ",4,2.5,3200,3600,3.0,No,Good,Good,9,1997,98119,47.632,-122.369
53,5494000040,2014-12-01," 1,444,000 ",4,2.75,2660,9547,1.0,No,Fair,Average,8,1968,98004,47.616,-122.218
54,9831200520,2014-10-06," 1,443,920 ",4,3.0,3720,5000,2.5,No,No View,Very Good,9,1905,98102,47.6282,-122.322
55,8835900220,2014-08-28," 1,442,500 ",2,2.5,2720,16637,1.0,No,Good,Average,10,1953,98118,47.5499,-122.264
56,5556300076,2015-04-23," 1,442,500 ",3,2.25,2630,9705,2.5,No,Average,Good,8,1987,98052,47.6485,-122.121
57,809002680,2014-10-14," 1,440,000 ",4,1.75,2410,6000,1.5,No,No View,Average,8,1911,98109,47.6369,-122.355
58,2025049111,2014-06-19," 1,440,000 ",3,3.5,3870,3819,2.0,No,No View,Average,11,2002,98102,47.6452,-122.317
59,5456000025,2014-12-01," 1,438,890 ",5,3.5,3420,8000,2.0,No,No View,Average,10,2006,98040,47.5736,-122.212
60,1102000527,2014-09-02," 1,437,500 ",4,3.75,4410,9231,3.0,No,Good,Average,11,2001,98118,47.5427,-122.265
61,4139430250,2015-03-30," 1,436,000 ",4,3.5,4970,16582,2.0,No,Good,Good,11,1992,98006,47.5496,-122.12
62,856000985,2014-11-06," 1,430,800 ",4,2.5,2910,7364,2.0,No,No View,Average,10,2003,98033,47.6906,-122.213
63,9290900160,2014-09-11," 1,430,000 ",4,2.5,3380,27589,2.0,No,No View,Average,10,1966,98004,47.6292,-122.225
64,8964800225,2015-03-03," 1,430,000 ",3,2.0,1890,12017,1.0,No,Average,Average,8,1949,98004,47.6203,-122.21
65,868002335,2015-03-04," 1,430,000 ",3,2.75,2710,9204,1.5,No,Excellent,Average,9,1975,98177,47.7039,-122.385
66,4232900310,2014-10-29," 1,430,000 ",5,4.25,3350,3600,2.0,No,No View,Average,10,2014,98119,47.6351,-122.364
67,98000130,2015-03-24," 1,425,000 ",4,5.0,4630,24054,2.0,No,Good,Average,11,2005,98075,47.587,-121.966
68,1336800670,2014-12-29," 1,425,000 ",5,3.0,2840,6240,2.0,No,No View,Very Good,9,1905,98112,47.6285,-122.309
69,6819100020,2014-05-29," 1,425,000 ",4,4.25,4960,6000,2.5,No,No View,Average,11,1909,98109,47.6437,-122.356
70,4385700425,2014-05-05," 1,425,000 ",2,2.5,2220,4000,2.0,No,No View,Average,9,2000,98112,47.6364,-122.28
71,7419500200,2015-04-01," 1,420,000 ",5,3.25,3950,11438,2.0,No,Average,Average,10,2006,98033,47.6898,-122.189
72,7933250050,2014-10-28," 1,419,000 ",5,3.25,4020,4500,2.0,No,No View,Average,9,2010,98004,47.6349,-122.204
73,4139900120,2014-06-05," 1,415,000 ",4,5.25,4670,43950,2.0,No,No View,Average,12,1989,98006,47.5456,-122.126
74,4055700378,2014-10-09," 1,415,000 ",4,3.25,3600,38016,2.0,No,Average,Average,11,1991,98034,47.7124,-122.253
75,6613001241,2014-08-11," 1,415,000 ",4,3.0,3110,4408,2.5,No,Good,Good,10,1931,98105,47.6583,-122.27
76,7856400300,2014-07-02," 1,411,600 ",2,2.5,3180,9400,2.0,No,Excellent,Very Good,10,1985,98006,47.5617,-122.158
77,284000025,2015-04-20," 1,410,000 ",2,2.0,2180,18525,1.0,Yes,Excellent,Very Good,9,1952,98146,47.5036,-122.387
78,5427100150,2014-06-26," 1,410,000 ",4,2.25,3250,16684,2.0,No,No View,Average,9,1979,98039,47.6334,-122.229
79,7237550100,2014-08-25," 1,408,760 ",4,4.0,4920,50621,2.0,No,No View,Average,10,2012,98053,47.6575,-122.006
80,2524049018,2014-12-05," 1,406,890 ",5,2.25,3580,16789,2.0,No,No View,Very Good,9,1966,98040,47.5364,-122.239
81,3225059223,2014-05-19," 1,405,000 ",4,3.5,3410,10769,2.0,No,No View,Average,10,2008,98004,47.6081,-122.198
82,4054530240,2015-04-27," 1,400,000 ",4,3.5,4380,66613,1.5,No,No View,Average,11,1993,98077,47.7279,-122.048
83,3585300194,2015-03-24," 1,400,000 ",5,3.25,4140,32700,1.0,No,Excellent,Average,10,1973,98177,47.7633,-122.369
84,3303850290,2015-04-09," 1,400,000 ",5,4.0,4700,22326,2.0,No,No View,Average,11,2002,98006,47.5417,-122.111
85,9253900408,2015-04-08," 1,400,000 ",3,2.75,3130,19530,1.0,Yes,Excellent,Average,8,1947,98008,47.5895,-122.111
86,2068000270,2014-08-05," 1,400,000 ",5,3.0,3850,14990,1.0,No,No View,Good,9,1964,98004,47.6425,-122.218
87,4139480200,2014-12-09," 1,400,000 ",4,3.25,4290,12103,1.0,No,Good,Average,11,1997,98006,47.5503,-122.102
88,9359100750,2014-10-31," 1,400,000 ",4,4.5,3080,10550,2.0,No,Good,Average,8,1976,98040,47.5806,-122.244
89,1370801331,2014-08-04," 1,400,000 ",4,2.5,4040,9630,1.0,No,Good,Good,9,1951,98199,47.6408,-122.41
90,2102700025,2014-10-09," 1,400,000 ",5,3.25,4300,9270,2.0,No,Good,Average,10,1957,98116,47.5717,-122.409
91,148000475,2014-05-28," 1,400,000 ",4,3.25,4700,9160,1.0,No,Excellent,Average,11,2005,98116,47.5744,-122.406
92,2451000070,2015-04-02," 1,400,000 ",4,2.5,2770,8879,2.0,No,No View,Average,9,2001,98004,47.5831,-122.193
93,5315100277,2014-05-13," 1,400,000 ",5,4.25,3530,7924,2.0,No,No View,Average,10,2001,98040,47.5894,-122.243
94,328000160,2014-12-11," 1,400,000 ",5,3.75,3700,7920,3.0,No,Excellent,Average,9,1983,98115,47.6865,-122.266
95,1370801440,2015-03-25," 1,400,000 ",4,2.5,3520,7815,2.0,No,Good,Average,10,1929,98199,47.6429,-122.412
96,3931900510,2014-08-29," 1,400,000 ",4,2.5,4070,7800,3.0,No,No View,Good,8,2002,98115,47.6838,-122.327
97,1250203070,2014-05-14," 1,400,000 ",3,2.5,2550,7200,2.0,No,Average,Average,10,1981,98144,47.5996,-122.288
98,5699000070,2014-05-28," 1,400,000 ",4,3.25,2980,7000,2.0,No,Good,Average,10,1900,98144,47.5933,-122.292
99,1245002391,2014-10-22," 1,400,000 ",5,4.25,4230,6907,2.0,No,No View,Average,10,2008,98033,47.6866,-122.205
100,1118001645,2015-01-30," 1,400,000 ",3,3.25,3020,6073,2.0,No,No View,Good,9,1954,98112,47.6332,-122.29
101,1370800935,2014-06-18," 1,400,000 ",3,2.0,2020,5500,1.5,No,Good,Average,10,1937,98199,47.6388,-122.409
102,1336800880,2014-08-22," 1,400,000 ",4,2.25,3780,5160,2.0,No,No View,Good,9,1907,98112,47.6275,-122.308
103,4217401055,2014-05-02," 1,400,000 ",4,2.5,2920,4000,1.5,No,No View,Very Good,8,1909,98105,47.6578,-122.28
104,1692900095,2014-06-18," 1,399,950 ",4,2.75,3870,10046,2.0,No,No View,Average,11,2005,98033,47.6651,-122.191
105,5316100106,2014-10-10," 1,399,000 ",3,2.5,2560,3600,2.0,No,No View,Average,9,1967,98112,47.632,-122.279
106,2525049133,2015-04-02," 1,398,000 ",5,2.25,2640,14959,1.0,No,No View,Good,7,1929,98039,47.6191,-122.234
107,629000605,2015-02-27," 1,398,000 ",3,2.5,2910,10044,2.0,No,No View,Good,10,1989,98004,47.5845,-122.199
108,1338300180,2014-07-29," 1,395,710 ",4,2.25,3960,8640,2.0,No,Average,Average,9,1925,98112,47.6317,-122.304
109,1326059142,2014-10-28," 1,395,000 ",4,3.0,3520,128502,2.0,No,Average,Good,10,1981,98072,47.7448,-122.117
110,2798000020,2014-08-15," 1,395,000 ",4,3.5,3560,16782,2.0,No,No View,Average,10,2014,98040,47.5569,-122.225
111,723000114,2014-05-05," 1,395,000 ",5,3.5,4010,8510,2.0,No,Fair,Very Good,9,1971,98105,47.6578,-122.286
112,2524000050,2014-12-12," 1,393,000 ",3,3.5,4240,21578,2.0,No,No View,Average,10,1994,98040,47.5614,-122.215
113,3931900580,2015-03-13," 1,389,000 ",4,3.5,3130,3900,2.0,No,No View,Average,9,2008,98115,47.6849,-122.327
114,6448000010,2015-04-28," 1,388,000 ",4,2.25,2940,20384,2.0,No,No View,Good,9,1970,98004,47.6214,-122.227
115,4122900020,2014-06-26," 1,388,000 ",4,3.0,4040,20001,1.0,No,No View,Average,9,1972,98004,47.6408,-122.212
116,524059250,2014-09-22," 1,388,000 ",4,2.5,3450,17400,1.5,No,No View,Good,9,1964,98004,47.5969,-122.206
117,2566300100,2015-03-27," 1,388,000 ",5,1.75,2650,11340,1.0,No,No View,Average,8,1955,98004,47.626,-122.213
118,9829201020,2014-11-18," 1,388,000 ",3,1.25,2400,6653,3.0,No,Average,Average,11,1992,98122,47.6019,-122.29
119,2225039103,2014-06-26," 1,387,800 ",3,3.0,2480,5500,2.0,No,Good,Average,10,1950,98199,47.6466,-122.404
120,713500020,2015-04-21," 1,387,000 ",4,4.5,4490,24767,2.0,No,Average,Average,11,1998,98006,47.5544,-122.147
121,2579500101,2015-04-21," 1,387,000 ",4,3.5,4010,10880,2.0,No,Good,Good,11,1990,98040,47.5359,-122.213
122,2625069070,2015-04-10," 1,385,000 ",4,3.25,4860,181319,2.5,No,No View,Average,9,1993,98074,47.6179,-122.005
123,7856410430,2014-05-30," 1,385,000 ",6,2.75,5700,20000,1.0,No,Excellent,Good,10,1977,98006,47.5601,-122.16
124,5608000010,2014-08-11," 1,385,000 ",4,3.5,4010,15365,2.0,No,Fair,Average,11,2006,98027,47.5528,-122.093
125,3885801190,2014-07-30," 1,385,000 ",4,3.5,3230,7200,1.0,No,Fair,Average,10,2000,98033,47.6838,-122.212
126,5035300850,2014-11-10," 1,385,000 ",5,3.75,3290,6480,2.0,No,No View,Very Good,10,1938,98199,47.653,-122.415
127,3204300455,2014-08-22," 1,385,000 ",3,2.25,2930,6000,2.0,No,Average,Average,11,2000,98112,47.6301,-122.301
128,6169901130,2014-09-11," 1,385,000 ",3,3.0,2490,3600,2.0,No,Good,Good,8,1911,98119,47.6313,-122.369
129,4139480200,2014-06-18," 1,384,000 ",4,3.25,4290,12103,1.0,No,Good,Average,11,1997,98006,47.5503,-122.102
130,191100672,2014-05-27," 1,381,000 ",4,3.75,3160,9525,2.5,No,No View,Average,10,1997,98040,47.5623,-122.221
131,2524049108,2015-05-12," 1,380,000 ",5,4.25,4050,18827,1.0,No,Average,Good,10,1979,98040,47.5323,-122.237
132,4139500200,2015-03-05," 1,380,000 ",6,4.5,5740,10312,2.0,No,Average,Average,11,2000,98006,47.5533,-122.11
133,1269200229,2014-07-23," 1,379,900 ",3,3.25,3786,38038,1.0,Yes,Excellent,Average,9,1978,98070,47.3907,-122.448
134,7153200160,2015-01-14," 1,378,600 ",5,3.25,3450,6360,2.0,No,No View,Very Good,9,1905,98122,47.6133,-122.287
135,7430500110,2014-12-09," 1,378,000 ",5,3.5,5150,12230,2.0,No,Average,Average,10,2007,98008,47.6249,-122.09
136,1234000704,2015-04-03," 1,378,000 ",5,3.5,3680,8680,2.0,No,No View,Average,9,2003,98033,47.6575,-122.197
137,3627800050,2014-07-15," 1,375,000 ",5,4.0,3760,22763,1.0,No,Good,Good,11,1969,98040,47.5333,-122.22
138,1561750040,2014-12-24," 1,375,000 ",5,4.5,4350,13405,2.0,No,No View,Average,11,2014,98074,47.6018,-122.06
139,8964800370,2014-10-22," 1,375,000 ",3,1.5,1850,10572,1.0,No,No View,Good,8,1953,98004,47.6194,-122.208
140,3885804260,2014-10-24," 1,375,000 ",4,3.5,3500,9523,2.0,No,No View,Average,10,1996,98033,47.6848,-122.208
141,4083306045,2014-10-29," 1,375,000 ",5,3.75,3330,5042,2.0,No,Average,Average,9,2014,98103,47.6497,-122.339
142,9528105305,2015-01-21," 1,375,000 ",4,3.5,3130,4500,2.0,No,No View,Average,9,2014,98103,47.677,-122.33
143,486000520,2014-06-06," 1,370,000 ",2,2.25,2460,16940,1.5,No,Excellent,Good,9,1936,98117,47.6792,-122.404
144,9359100101,2015-04-14," 1,370,000 ",5,2.25,3510,13843,1.0,No,Average,Average,8,1959,98040,47.5817,-122.246
145,7855200120,2014-05-09," 1,370,000 ",4,2.75,3720,9450,1.0,No,Excellent,Very Good,10,1962,98006,47.5627,-122.156
146,4054500390,2014-10-07," 1,365,000 ",4,4.75,5310,57346,2.0,No,No View,Good,11,1989,98077,47.7285,-122.042
147,4139420430,2014-06-11," 1,365,000 ",5,3.5,4210,17258,2.0,No,Good,Average,12,1995,98006,47.553,-122.114
148,4217401180,2014-05-30," 1,365,000 ",3,2.5,2090,6000,1.5,No,No View,Good,9,1928,98105,47.6567,-122.281
149,1724069062,2014-07-14," 1,365,000 ",2,3.25,2700,3444,3.0,Yes,Good,Average,9,1990,98075,47.5684,-122.06
150,856001130,2015-02-23," 1,364,000 ",4,2.5,3560,8960,2.0,No,No View,Average,10,2001,98033,47.6903,-122.213
151,3536900110,2014-10-09," 1,362,500 ",3,2.0,2310,21318,1.0,No,No View,Average,10,1979,98004,47.6381,-122.224
152,1625069101,2014-07-07," 1,360,000 ",4,3.0,5430,108900,2.0,No,No View,Good,10,1987,98053,47.6582,-122.038
153,7352200100,2015-02-24," 1,360,000 ",2,1.75,2620,14138,2.0,Yes,Excellent,Average,8,1931,98125,47.7142,-122.277
154,6389970010,2015-03-23," 1,360,000 ",4,3.5,4120,12626,2.0,No,Fair,Average,11,2014,98034,47.7089,-122.245
155,3271800910,2014-07-01," 1,356,920 ",4,3.5,4270,5800,2.0,No,Good,Very Good,10,1937,98199,47.6474,-122.411
156,7431500341,2015-04-24," 1,355,000 ",3,2.5,3600,21399,1.0,No,Good,Average,9,1950,98008,47.6191,-122.099
157,9286000110,2014-08-14," 1,355,000 ",5,3.75,4960,13990,2.0,No,Average,Average,11,2001,98006,47.5491,-122.137
158,4039800080,2014-05-29," 1,355,000 ",5,3.5,5960,13703,2.0,No,Average,Average,10,1984,98008,47.6151,-122.107
159,8081020370,2014-07-09," 1,355,000 ",4,3.5,3550,11000,1.0,No,Average,Average,11,1999,98006,47.5506,-122.134
160,1689401230,2014-06-25," 1,355,000 ",3,1.5,2680,4775,2.0,No,Average,Very Good,8,1913,98109,47.6333,-122.347
161,822069112,2015-04-23," 1,350,000 ",4,4.75,5230,89298,2.5,No,No View,Average,11,2002,98038,47.4097,-122.063
162,822039084,2015-03-11," 1,350,000 ",3,2.5,2753,65005,1.0,Yes,Average,Very Good,9,1953,98070,47.4041,-122.451
163,1424069056,2014-08-05," 1,350,000 ",4,3.75,4100,61419,2.0,No,No View,Average,9,2014,98029,47.5626,-122.005
164,3401700150,2015-04-23," 1,350,000 ",5,3.0,5530,38816,1.5,No,Average,Average,10,1969,98072,47.7352,-122.116
165,1795800040,2014-09-03," 1,350,000 ",4,3.25,5370,20388,2.0,No,Excellent,Good,11,1990,98198,47.405,-122.331
166,2581300010,2014-06-09," 1,350,000 ",4,3.25,3300,15907,2.0,No,No View,Very Good,10,1985,98040,47.5413,-122.216
167,713500030,2014-07-28," 1,350,000 ",5,3.5,4800,14984,2.0,No,Average,Average,11,1998,98006,47.5543,-122.148
168,2387600010,2015-03-03," 1,350,000 ",4,3.5,4680,12495,2.0,No,No View,Average,10,2008,98033,47.6984,-122.206
169,8964800930,2015-03-17," 1,350,000 ",4,2.0,2240,10296,1.0,No,No View,Very Good,8,1948,98004,47.6177,-122.217
170,3625049079,2014-08-01," 1,350,000 ",3,2.0,2070,9600,1.0,No,Fair,Average,7,1946,98039,47.616,-122.239
171,191100275,2014-09-26," 1,350,000 ",4,3.5,3500,9525,2.0,No,No View,Average,10,1999,98040,47.5641,-122.221
172,6813600605,2015-01-28," 1,350,000 ",4,4.5,3420,7440,3.0,No,No View,Average,9,2014,98103,47.6875,-122.33
173,1370800940,2014-07-21," 1,350,000 ",3,2.5,2390,5500,1.0,No,Good,Average,9,1952,98199,47.6389,-122.409
174,9103000715,2014-11-12," 1,350,000 ",4,3.5,3600,5217,2.0,No,No View,Average,9,1947,98112,47.6189,-122.286
175,8712100350,2014-09-09," 1,350,000 ",4,3.25,3030,5164,1.5,No,No View,Very Good,9,1925,98112,47.6394,-122.299
176,2804600155,2015-05-07," 1,350,000 ",4,1.75,2000,3728,1.5,No,No View,Good,9,1926,98112,47.643,-122.299
177,8562720420,2015-04-30," 1,349,000 ",4,3.5,4740,8611,2.0,No,Good,Average,11,2006,98027,47.5375,-122.07
178,629860010,2015-04-29," 1,348,000 ",4,3.5,4640,9827,2.0,No,Average,Average,10,2007,98027,47.5524,-122.078
179,4151800410,2014-10-31," 1,348,000 ",5,3.25,3540,5971,1.0,No,Average,Average,10,2005,98033,47.6643,-122.202
180,4122900190,2014-05-12," 1,346,400 ",5,1.75,3380,20021,1.0,No,No View,Good,8,1963,98004,47.6395,-122.211
181,2998800110,2015-03-25," 1,345,000 ",4,3.25,3440,4920,2.0,No,Excellent,Average,10,2014,98116,47.5727,-122.409
182,1370803460,2014-05-07," 1,340,000 ",3,3.0,2960,5500,2.0,No,Average,Average,10,1937,98199,47.6356,-122.402
183,1251200055,2014-06-26," 1,340,000 ",4,3.5,3190,5040,2.0,No,Good,Average,10,2003,98144,47.5928,-122.29
184,6613000715,2014-07-21," 1,340,000 ",4,3.0,2760,4905,2.0,No,Fair,Good,9,1938,98105,47.6591,-122.27
185,7936500190,2014-10-21," 1,339,000 ",4,3.75,2130,34689,1.5,Yes,Excellent,Average,9,1955,98136,47.5489,-122.398
186,1922000070,2014-06-09," 1,339,000 ",4,2.5,4250,19387,2.0,No,Average,Good,9,1972,98040,47.5578,-122.212
187,3885806565,2015-01-30," 1,339,000 ",4,3.5,2980,6349,2.0,No,Good,Average,9,1998,98033,47.6819,-122.208
188,7781600100,2014-09-05," 1,338,750 ",3,2.75,2730,38869,1.5,Yes,Excellent,Average,9,1963,98146,47.4857,-122.361
189,1025039292,2014-10-30," 1,337,500 ",4,2.5,2900,21074,2.0,No,No View,Average,11,1986,98199,47.6696,-122.416
190,3324079089,2014-11-21," 1,335,000 ",4,4.0,5050,202554,2.0,No,No View,Average,10,2000,98027,47.5269,-121.922
191,7351200050,2014-12-18," 1,335,000 ",4,1.75,2300,13342,1.5,Yes,Excellent,Average,7,1934,98125,47.7308,-122.282
192,1336800010,2014-06-13," 1,335,000 ",5,2.25,4200,5800,2.5,No,No View,Good,9,1906,98112,47.6284,-122.312
193,5317100294,2014-11-13," 1,333,000 ",4,4.5,3130,5126,3.0,No,No View,Average,10,2014,98112,47.6239,-122.29
194,2579500181,2015-04-07," 1,330,000 ",4,3.5,3440,9776,2.0,No,No View,Average,10,2006,98040,47.5374,-122.216
195,6169900545,2014-06-25," 1,330,000 ",3,1.5,1940,2885,1.5,No,Average,Average,8,1900,98119,47.6308,-122.369
196,5452800310,2015-04-20," 1,328,000 ",5,3.0,3340,10796,1.0,No,Average,Average,9,1964,98040,47.5421,-122.229
197,1336800065,2015-03-24," 1,328,000 ",4,2.25,3260,4640,2.0,No,No View,Very Good,9,1907,98112,47.6272,-122.312
198,868002015,2015-02-25," 1,326,000 ",3,2.25,2960,8330,1.0,No,Good,Good,10,1953,98177,47.7035,-122.385
199,4379600030,2014-07-29," 1,325,000 ",3,3.75,6400,76665,1.0,No,Average,Good,10,1966,98177,47.7313,-122.37
200,9578050120,2014-08-08," 1,325,000 ",4,2.5,4010,37076,2.0,No,No View,Good,12,1990,98052,47.7139,-122.106
201,1802000060,2014-06-12," 1,325,000 ",5,2.25,3200,20158,1.0,No,No View,Average,8,1965,98004,47.6303,-122.215
202,324069112,2014-06-17," 1,325,000 ",4,4.0,4420,16526,2.0,No,No View,Average,11,2013,98075,47.5914,-122.027
203,2424059052,2014-07-10," 1,325,000 ",6,4.25,5720,10213,2.0,No,No View,Average,10,2004,98006,47.5464,-122.116
204,9541600110,2015-04-30," 1,325,000 ",3,2.5,3590,8400,1.0,No,No View,Average,9,1958,98005,47.595,-122.173
205,486000510,2014-05-23," 1,325,000 ",4,3.0,3370,7920,1.0,No,Good,Average,10,1988,98117,47.6773,-122.403
206,2125049024,2014-06-20," 1,325,000 ",4,2.25,2870,6280,1.5,No,No View,Good,9,1905,98112,47.6329,-122.31
207,7576700150,2014-10-01," 1,325,000 ",3,2.25,2360,5504,2.0,No,No View,Good,8,1913,98122,47.617,-122.288
208,4219400555,2014-11-24," 1,325,000 ",3,2.5,2280,5000,2.0,No,Good,Good,9,1926,98105,47.6574,-122.278
209,1337800665,2014-08-11," 1,325,000 ",4,3.25,2850,4800,2.5,No,No View,Very Good,10,1905,98112,47.6292,-122.312
210,1342300265,2014-10-01," 1,325,000 ",4,3.25,2470,4760,1.5,No,No View,Very Good,9,1906,98112,47.6331,-122.31
211,2883200139,2015-03-06," 1,325,000 ",4,3.5,2170,3672,2.0,No,No View,Average,9,1905,98115,47.6828,-122.329
